Autor,"Qtd. de artigos publicados no eixo temático ""Teoria dos Grafos e Algoritmos Relacionados"""
Fábio Protti,23
Uéverton dos Santos Souza,23
Nair Maria Maia de Abreu,18
Sulamita Klein,17
Lílian Markenzon,14
Hebert Coelho da Silva,14
Jayme Luiz Szwarcfiter,14
Carla Silva Oliveira,13
Raquel de Souza Francisco Bravo,13
Claudia Marcela Justel,13
Loana Tito Nogueira,13
Sanderson L. Gonzaga de Oliveira,11
Rudini Menezes Sampaio,11
Erika Morais Martins Coelho,10
Leonardo Silva de Lima,10
Márcia Rodrigues Cappelle Santana,9
Luís Felipe Ignácio Cunha,8
Sebastián Alberto Urrutia,8
Fábio Hernandes,7
Luerbio Faria,7
Renata Raposo Del-Vecchio,7
Maria Claudia Silva Boeres,7
Rosiane de Freitas,6
Les R. Foulds,6
Humberto J. Longo,6
Maria Aguieiras Alvarez de Freitas,6
Samuel Jurkiewicz,5
Christina F. E. M. Waga,5
Fernanda Couto,5
Marcia Helena Moreira Paiva,5
Akebo Yamakami,5
Andréa Soares Bonifácio,5
Átila Arueira Jones,5
Julliano Rosa Nascimento,5
Rodolfo Alves de Oliveira,5
Tiago de Oliveira Januario,5
Oswaldo Vernet,4
Maximiliano Pinto Damas,4
Paulo Renato da Costa Pereira,4
Maria Cristina Rangel,4
Alan Diêgo Aurélio Carneiro,4
Paulo Oswaldo Boaventura-Netto,4
Márcia Tomie Takahashi,4
Cláudia Linhares Sales,4
Mitre Costa Dourado,4
Júnior Assis Barreto Bernardes,4
Marco Antonio de Castro Barbosa,3
Sylvain Gravier,3
Valdir Agustinho de Melo,3
Cybele T. M. Vinagre,3
André Ebling Brondani,3
Guilherme Oliveira Chagas,3
João Marcos Brito,3
Braully Rocha da Silva,3
Rommel Melgaço Barbosa,3
Diane Castonguay,3
Abel Rodolfo Garcia Lozano,3
Madiagne Diallo,3
Letícia Rodrigues Bueno,3
Alexandre A. A. M. Abreu,3
Tanilson Dias dos Santos,3
Fabiano de Souza Oliveira,3
Clícia Valladares Peixoto Friedmann,3
Paulo Eustaquio Duarte Pinto,3
Eduardo Zambon,3
Laira Vieira Toscani,2
Leila Ribeiro,2
Noemi C. dos Santos,2
Simone Dantas,2
Paulo Jorge Magalhães Teixeira,2
Alexandre de Assis Mota,2
Lia Toledo Moreira Mota,2
André Luiz Morelato França,2
Leandro da Silva Teixeira,2
Wagner Santos de Oliveira,2
Camila Cristina Gomes Ferreira de Oliveira,2
Romulo R. Rosa,2
Stanley Rodrigues,2
Rubens Sucupira,2
Laura Patuzzi,2
Marco Antonio Moreira de Carvalho,2
Jean Antonio Ribeiro,2
Maurício da Silva Pires,2
Bruno Lopes Vieira,2
Isac M. Lacerda,2
Eber A. Schmitz,2
Atílio G. Luiz,2
Maria Luíza López da Cruz,2
Paulo A. G. Kataki,2
Mateus de Paula Ferreira,2
Lívia Salgado Medeiros,2
Helder Roberto de Oliveira Rocha,2
Leandro Santiago,2
Samuel N. Araújo,2
Raquel Folz,2
Gustavo M. Leal,2
Kedson Alves Silva,2
Thiago Lopes Nascimento,2
Marcio Costa Santos,2
Marcos José Negreiros Gomes,2
Milène Maria Drumond Pimenta,2
Júlio César Silva Araújo,2
Márcia Rosana Cerioli,2
Daniel Fabio Domingues Posner,2
Pascal Berthomé,2
Rodrigo de Alencar Hausen,2
Candido Ferreira Xavier de Mendonça,2
Nicolas A. Martins,2
David Álvarez-Martínez,2
Wellington Santos Martins,2
Juliana Verga Shirabayashi,2
Vinícius Gusmão Pereira de Sá,2
Celso Marques da Silva Junior,2
Pedro Henrique Gonzalez,2
Carlos Vinicius Gomes Costa Lima,2
Diego Júlio Pacheco,2
Fábio da Silva Júnior,2
Libério M. Silva,2
Bruno Porto Masquio,2
Rafael A. Melo,2
Francisca Andrea Macedo França,2
Gladstone M. Arantes Jr,1
Felipe M. G. França,1
Carlos A. Martinhon,1
Pablo Burgos,1
Héctor Cancela,1
Alfredo Godoy,1
Louis Petingi,1
Wagner Arbex,1
Leandro Toss Hoffmann,1
Antonio Gabriel Rodrigues,1
Ari Stopassola Junior,1
Arthur Tórgo Gómez,1
Augusto Wagner de Castro Palhano,1
Horacio Hideki Yanasse,1
Maria José Pinto,1
Fábio Rimola da Cruz Mano,1
Aquiles Braga de Queiroz,1
Iuri Locatelli Vieira,1
Celina M. H. de Figueiredo,1
Pavol Hell,1
Newton Paciornik,1
S. K. Kawasaki,1
Roberta Almeida Pereira,1
Leonardo Claro Garcia,1
Gilcina Guimarães Machado,1
José Luis Verdegay,1
Karla Roberta P. do Nascimento,1
Renato Gonçalves de Lanes,1
Ricardo de Magalhães Simões,1
Denis Silva da Silveira,1
Laura Silvia Bahiense da Silva Leite,1
Aurora Morgana,1
Aline Alves da Silva,1
Ana Silva,1
André Cardoso de Souza,1
Pedro Stancioli,1
Celso C. Ribeiro,1
R. T. Paulino,1
R. P. Paes Leme,1
T. S. Pereira,1
Daniel R. Trindade,1
Flávio M. Varejão,1
Guilherme Oliveira Mota,1
Paulo César Linhares,1
Rafael Castro de Andrade,1
D. Barth,1
André da Cunha Ribeiro,1
João Paulo Minoru Kobayashi Katayama,1
Felipe Ribas Forbeck,1
Daniel Gomes,1
Synara Pereira Brito,1
Jussara Rodrigues Ciappina,1
Patricia Erthal de Moraes,1
Christine Sertã Costa,1
Adriano Vitor,1
Arinei Carlos Lindbeck da Silva,1
Luzia Vidal de Souza,1
Serigne Gueye,1
Marcela Cecilia González-Araya,1
Luis G. Acosta Espejo,1
Marcela Ferreira,1
Alane Alves Silva,1
Fernando Menezes Campello de Souza,1
Beatriz Malajovich,1
Claudio Santos de Souza,1
Douglas José da Silva,1
Geiza Cristina da Silva,1
Aroldo José de Oliveira,1
V. Campos,1
A. Maia,1
Leonardo Moura,1
Marcus Ritt,1
Luciana S. Buriol,1
Philippe Leal Freire dos Santos,1
Samuel Nascimento,1
Diego Andrés de Barros Lima Barbosa,1
Leonardo Borges Avelino,1
Rarylson Freitas de Souza,1
Joelma Ananias de Oliveira,1
Márcia Bengio de Albuquerque,1
Marcos Daniel Valadão Baroni,1
Ademir Aparecido Constantino,1
Rodrigo Lankaites Pinheiro,1
Diego Barcelos Rodrigues,1
Angelo Santos Siqueira,1
Rubén Augusto Romero Lázaro,1
Maise Dantas da Silva,1
Ivan Gutman,1
Anderson Calixto,1
Eurinardo Rodrigues Costa,1
Rennan Ferreira Dantas,1
Luciano Noberto Grippo,1
Martín Darío Safe,1
Raphael de Aquino Gomes,1
Elisângela Silva Dias,1
Edson Norberto Cáceres,1
João Paulo de Freitas Araujo,1
Fernanda Maria Pereira Raupp,1
Thiago de Paula Vasconcelos,1
Ricardo Coelho Silva,1
Wesley Vagner Inês Shirabayashi,1
Marcelo Azevedo Costa,1
Sílvia Maria Santana Mapa,1
André Castro Ramos,1
Andréia C. S. Gusmão,1
Paula Rama,1
Maria Paula Carvalho,1
Vitor Silva Costa,1
Felipe de Campos Mesquita,1
Frederico Sousa Epifanio,1
Eduardo Ogasawara,1
Jorge Soares,1
Myrna Amorim,1
Clautenis Viana,1
Moisés Teles Carvalho Junior,1
Adalton S. Almeida,1
Luis A. A. Meira,1
Rogério H. B. de Lima,1
Ricardo Lopes de Andrade,1
Leandro Chaves Rêgo,1
Rafael Castro de Souza,1
Alexsandro Trindade Sales da Silva,1
Wilamis Kleiton Nunes da Silva,1
Rennê Stephany Ferreira dos Santos,1
Francisco Milton Mendes Neto,1
Carolina S. de Carvalho,1
Luziane F. de Mendonça,1
Paulo Wagner Lopes da Silva,1
Henrique Pacca Loureiro Luna,1
Felipe Sousa Chaves,1
Liliana M. G. C. da Costa,1
Carlos H. P. do Nascimento,1
Jeanne Leite,1
Thalyson Gomes Nepomuceno da Silva,1
Leonardo Sampaio Rocha,1
Gerardo Valdisio Rodrigues Viana,1
Ignasi Sau,1
Rodrigo Ferreira da Silva,1
Matheus Souza D'Andrea Alves,1
Alessandra S. Anyzewski,1
Davi Fiorese Bissoli,1
Bruno Soares Barreto,1
Marcelo Pitanga Alves,1
Andressa Martins Moraes,1
Victoria Aires,1
Fabiola Nakamura,1
Rafael de A. Cruz,1
Junot Freire,1
Anderson Chaves da Silva,1
Simone Gama,1
Mario Salvatierra,1
Diego de Souza Maceira Belay,1
Clynton Tomacheski,1
Anolan Milanés,1
Vinícius Gandra Martins Santos,1
Leonardo da Rocha Perazzini,1
Juliana M. Souza,1
Valmir C. Barbosa,1
Débora Cristina Fortuna Lopes,1
José Iranildo Barbosa Sales da Silva,1
Maria Gerliane Rodrigues Fonseca Cavalcante,1
Gislane Natália de Souza Miranda,1
Vinicius Fernandes dos Santos,1
Priscila Camargo,1
Rodrigo da Cruz Grijó,1
Clarianne Luciola de A. V. M. Lucas,1
Claudson Bornstein,1
Joice Santos do Nascimento,1
Vanessa Helena Pereira-Ferrero,1
Theodore Gyle Lewis,1
Luciane Graziele Pereira Ferrero,1
Leonardo Tomazeli Duarte,1
Fernando P. G. Sá,1
Laura S. de Assis,1
Rafaelli Coutinho,1
Diego Brandão,1
Daniel Juventude,1
Liliana Alcón,1
María Pía Mazzoleni,1
Mariana Duque Finkel,1
José Robertty de Freitas Costa,1
Anne R. A. Federici Marinho,1
Ighor de Brito,1
Marcelo C. Dias,1
Vinícius Gabriel Santos,1
Sandro André de Menezes,1
André Renato Villela da Silva,1
Matheus Tavares Araujo,1
Filipe Emanuel Silva Costa,1
Raquel da Silva Cabral,1
Katiuski Pereira Nascimento,1
Alcebíades Dal Col Júnior,1
João Thompson,1
Davi Gomes Florencio,1
Felipe Kallás Silva,1
José Luiz da Silva Neto,1
Alexandre Donizeti Alves,1
Edmilson Marmo Moreira,1
Daniel Felisberto Traciná Filho,1
Lavínia Beghini de Castro,1
Mariana Mendes da Silva,1
André Eduardo Alessi,1
Lucas Caldeira de Oliveira,1
Bruno Duarte,1
Dalcimar Casanova,1
Ives Rene Venturini Pola,1
Fernanda Paula Barbosa Pola,1
Wallace Duarte de Holanda,1
Maria Adriana Ferreira da Silva,1
Mauro Nigro,1
Diana Sasaki,1
Rafael C. Silva,1
Yuri Ribeiro dos Santos,1
Laura Maria Silva Miranda,1
Rafael Carlos Soares Lima,1
Milton Brown Do Coutto Filho,1
Julio Cesar Stachinni de Souza,1
Bruna Rodrigues Vidigal,1
Marcelo Eduardo Vieira Segatto,1
Luan César Dutra Carvalho,1
Larissa Bonadiman Grassi,1
Carlos Santos,1
Anderson Zudio,1
Uilton Cesar Peres Junior,1
Rafael Leal de Paula,1
Daniel Botinelly Bezerril Ribeiro,1
Rafael de Magalhães Dias Frinhani,1
Daniel Sadamo Hirayama,1
Nei Yoshihiro Soma,1
Rodrigo dos Anjos Azevedo,1
Anderson Beltrão,1
Rodrigo Lamblet Mafort,1
Felipe Souza,1
Arnaldo Cesar Almeida Oliveira,1
Mayron César O. Moreira,1
Kali N. Ferreira,1
Marcos José P. Salles,1
Álvaro M. Espíndola,1
Andreza C. Beezão,1
Saulo Matos,1
Lia Martins,1
Isac Costa,1
Israel Pereira de Souza,1
Igor Machado Coelho,1
Luiz Satoru Ochi,1
Wesly Carmesini Ataide,1
Rafael de Santiago,1
Álvaro Junio Pereira Franco,1
Felipe Boschetti,1
Andrei de A. S. Braga,1
Geomar A. Schreiner,1
Giancarlo D. Salton,1
Robson Pires Borges,1
Heitor Nunes Costa,1
Dario José Aloise,1
Fábio Francisco da Costa Fontes,1
Andréa Cynthia Santos,1
Josicleyton Azevedo dos Santos,1
Robson Medrado de Oliveira,1
Rafael Castro,1
Alayna Marcia Garcia Conceição,1
Ana Luísa Carvalho Furtado,1
Johana Milena Martínez Contreras,1
Germán Pantoja Benavides,1
Felipe Costa Melo Cunha,1
Ivan Guilhon,1
Samuel Madeiro,1
Antônio José da Costa Sampaio,1
Tasso A. T. Pimenta,1
Dayllon Xavier,1
Lorenzo dos Santos Corrêa,1
Guilherme C. M. Gomes,1
Maria Heloísa de Paula Souza,1
Gustavo Morais Medeiros,1
Heitor Melo de Lucas Brandão,1
Vitor S. Ponciano,1
Rafael Oliveira,1
Augusto Parisot,1
Lara Rodrigues Ventura,1
Samuel Eduardo da Silva,1
Renata Nunes Velozo,1
Rubén Interian,1
Raphael Carlos Santos Machado,1
João Pedro da Silva Cerqueira,1
Rodrigo Freitas Sá Barretto,1
Alexandro Souza Ramos,1
Islame Felipe da Costa Fernandes,1