Instituição,"Qtd. de artigos publicados no eixo temático ""Teoria dos Grafos e Algoritmos Relacionados"""
Universidade Federal do Rio de Janeiro,81
Universidade Federal Fluminense,66
Universidade Federal de Goiás,28
Universidade do Estado do Rio de Janeiro,23
Instituto Militar de Engenharia,17
Universidade Federal do Ceará,16
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,13
Universidade Federal do Espírito Santo,12
Universidade Federal de Lavras,12
Universidade Estadual de Campinas,11
Universidade Federal de Minas Gerais,11
Escola Nacional de Ciências Estatísticas,8
Universidade Federal do Amazonas,7
Instituto Brasileiro de Geografia e Estatística,6
Universidade Estadual do Centro-Oeste,6
Universidade Federal do Estado do Rio de Janeiro,6
Centro Federal de Educação Tecnológica do Rio de Janeiro,5
Pontifícia Universidade Católica do Rio de Janeiro,4
Universidade Federal do ABC,4
"Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais",4
Universidade Federal do Rio Grande do Sul,3
Universidade Estadual do Ceará,3
Centre National de la Recherche Scientifique,3
Universidade Estadual de Goiás,3
Centro de Análises de Sistemas Navais,3
Universidade Federal de Pernambuco,3
Universidade Federal de Ouro Preto,3
Universidade Federal Rural do Semi-Árido,3
Universidade Federal da Bahia,3
"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",3
Universidade Federal do Tocantins,3
Universidade Federal Rural do Rio de Janeiro,3
"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",3
Instituto Federal Goiano,3
Universidade de Cruz Alta,2
Universidade Estadual do Rio de Janeiro,2
Universidade Federal de Uberlândia,2
Universidade do Grande Rio,2
Colégio Pedro II,2
Universidade Federal de Mato Grosso,2
Universidade de São Paulo,2
Université Joseph Fourier,2
Universidade Estadual de Maringá,2
Universidade Federal de São Paulo,2
Universidade do Estado do Rio Grande do Norte,2
Universidade Federal de Alagoas,2
Centro Federal de Educação Tecnológica de Minas Gerais,2
Universidade Federal de Itajubá,2
Instituto Tecnológico de Aeronáutica,2
City University of New York,1
Universidad de la República,1
Empresa Brasileira de Pesquisa Agropecuária (Embrapa Gado de Leite),1
Universidade do Vale do Rio dos Sinos,1
Centro Federal de Educação Tecnológica do Ceará,1
Instituto Nacional de Pesquisas Espaciais,1
Associação Carioca de Ensino Superior,1
Simon Fraser University,1
Escola Nacional de Ciências Estatísticas / Instituto Brasileiro de Geografia e Estatística,1
Ministério da Ciência e Tecnologia,1
Universidade Estadual de Feira de Santana,1
Escola Naval,1
Universidade Petrobras,1
Universidad de Granada,1
Instituto Brasileiro de Mercado de Capitais,1
Sapienza Università di Roma,1
Université de Versailles,1
Université d'Orléans,1
Centro Federal de Educação Tecnológica de Rio Verde,1
Escola Nacional de Ciências e Estatísticas,1
Universidade Federal do Paraná,1
Faculdade Estadual de Ciências e Letras de Campo Mourão,1
Université du Havre,1
Laboratoire d'Informatique Fondamentale d'Orléans,1
École Nationale Supérieure d'Ingénieurs de Bourges,1
Universidad Técnica Federico Santa María,1
Universidad de Talca,1
Departamento de Polícia Federal,1
Universidade Estadual Paulista Júlio de Mesquita Filho,1
University of Kragujevac,1
Instituto Federal do Ceará,1
Universidad Nacional de General Sarmiento,1
Universidade Federal de Mato Grosso do Sul,1
"Instituto Federal de Educação, Ciência e Tecnologia de Goiás",1
Universidade de Aveiro,1
Centro de Educação a Distância do Estado do Rio de Janeiro,1
Instituto Federal do Piauí,1
Instituto Federal de Alagoas,1
Escola Nacional de Ciências e Estatística,1
Eletrobras Furnas,1
"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",1
"Instituto Nacional de Metrologia, Qualidade e Tecnologia",1
"Laboratoire d'Informatique, de Robotique et de Microélectronique de Montpellier",1
Escola Nacional de Ciências Estatísticas do Instituto Brasileiro de Geografia e Estatística,1
Centro Universitário UNIABEU,1
Universidade Leão Sampaio,1
"Escola Nacional de Ciências Estatísticas, Instituto Brasileiro de Geografia e Estatística",1
Naval Postgraduate School,1
National University of La Plata,1
Motora Tecnologia S.A.,1
Faculdade Municipal de Macaé Professor Miguel Ângelo da Silva Santos,1
Universidade Tecnológica Federal do Paraná,1
Centro Federal de Educação Celso Suckow da Fonseca,1
Boston University,1
Molde University College,1
"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",1
Universidade Federal do Cariri,1
Universidade Federal de Santa Catarina,1
Universidade Federal da Fronteira Sul,1
Universidad de los Andes,1
Universidade Estadual do Vale do Acaraú,1
Universidade Estadual do Norte Fluminense Darcy Ribeiro,1
Instituto de Matemática Pura e Aplicada,1
Clavis Segurança da Informação,1